annotation	Lydia Bremer-McCollum
attributed_author	Bartholomew
author	Anonymous
collection	Oriental Manuscripts
Coptic_edition	<a href="https://archive.org/details/cu31924026887780/page/n5/mode/2up">Budge Apocrypha 1913</a>
corpus	book.bartholomew
country	Egypt
document_cts_urn	urn:cts:copticLit:misc.book_bartholomew.budge_ed:3-25
idno	BL Or. 6804  ff.1-24
language	Sahidic Coptic
license	"<a href=""https://creativecommons.org/licenses/by/4.0/"">CC-BY 4.0</a>"
msContents_title_n	-
msContens_title _type	-
msItem_title 	Book of the Resurrection of Jesus Christ aka Book of Bartholomew
msName	MERC.AO
note	Coptic follows Budge's transcription of MERC.AO. Chapter divisions follow those in Burke ed. New Testament Apocrypha vol. 2 (2020).
objectType	codex
order	01
origDate	between 1101 and 1200
origDate_notAfter	1101
OrigDate_notBefore	1200
origDate_precision	medium
origPlace	Hagr Edfu
pages_from	11
pages_to	58
parsing	automatic
paths_authors	none
paths_manuscripts	<a href="http://paths.uniroma1.it/atlas/manuscripts/191">191</a>
paths_works	<a href="http://paths.uniroma1.it/atlas/works/27">27</a>
placeName	Hagr Edfu
project	"Coptic SCRIPTORIUM, PATHS"
redundant	no
repository	British Library
segmentation	automatic
source	"<a href=""https://archive.org/details/cu31924026887780/page/n5/mode/2up"">Budge Apocrypha 1913 on archive.org</a>"
source_info	OCR of Budge 1915 pdf on archive.org using OCR4all
tagging	automatic
title	Book of the Resurrection of Jesus Christ aka Book of Bartholomew
translation	none
Trismegistos	none
version_date	2024-10-31
version_n	6.0.0
witness	2 other manuscripts contain this work but are not published by Coptic Scriptorrium
