annotation	Lydia Bremer-McCollum, Nicholas Wagner
author	Anonymous
collection	Manuscrits coptes 
Coptic_edition	<a href="https://babel.hathitrust.org/cgi/pt?id=coo.31924028715617&seq=10">Lacau 1904</a>
corpus	acts.pilate
country	Egypt
document_cts_urn	urn:cts:copticLit:misc.acts_pilate.lacau_ed:10-11
idno	129/18 f. 140
language	Sahidic Coptic
license	<a href="https://creativecommons.org/licenses/by/4.0/">CC-BY 4.0</a>
msItem_title 	Acts of Pilate-Gospel of Nicodemus
msName	CM.1643
note	Coptic follows Lacau's transcription. Chapter divisions follow paragraph breaks in Lacau's translation. No CMCL manuscript siglum exists for this codex, so the MsName is the CLM number in PATHS. No page numbers are visible on the transcription of this folio.
objectType	codex
ocr	automatic
order	2
origDate	between 901 and 1100
origDate_notAfter	1100
OrigDate_notBefore	901
origDate_precision	medium
origPlace	White Monastery
pages_from	31
pages_to	32
parsing	automatic
paths_authors	none
paths_manuscripts	<a href="http://paths.uniroma1.it/atlas/manuscripts/1643">1643</a>
paths_works	<a href="http://paths.uniroma1.it/atlas/works/35">35</a>
placeName	Atripe
project	Coptic SCRIPTORIUM
redundant	no
repository	Paris Bibliothèque Nationale
segmentation	automatic
source	<a href="https://babel.hathitrust.org/cgi/pt?id=coo.31924028715617&seq=10">Lacau 1904</a>
source_info	OCR of Lacau pdf on Hathitrust using OCR4all
tagging	automatic
title	Acts of Pilate-Gospel of Nicodemus CM.1643 part 2
translation	none
Trismegistos	none
version_date	2024-10-31
version_n	6.0.0
witness	2 other manuscripts contain this work but are not published by Coptic Scriptorium
